,Date,Unix,Ticker,DE Ratio,Price,price_p_value,SP500,sp500_p_value,Difference
0,2004-01,1075474862.0,a,0.407,36.65,0.0,1131.13,0.0,0.0
1,2004-04,1081814831.0,a,0.375,31.87,-13.042291950886762,1129.4399,-0.14941695472669184,-12.89287499616007
2,2004-12,1102959454.0,a,0.323,23.84,-34.95225102319236,1198.6801,5.971913042709496,-40.924164065901856
3,2005-01,1106356639.0,a,0.322,21.8,-40.518417462482944,1184.63,4.7297834908454375,-45.24820095332838
4,2006-01,1136759716.0,a,0.0,34.65,-5.457025920873124,1290.15,14.058507863817596,-19.51553378469072
5,2006-06,1150873276.0,a,0.368,32.18,-12.19645293315143,1252.2,10.703455836199192,-22.899908769350624
6,2006-08,1155969721.0,a,0.396,31.8,-13.23328785811732,1295.4301,14.525306551855216,-27.758594409972538
7,2007-02,1171979216.0,a,0.411,32.48,-11.377899045020468,1459.6801,29.04618390459098,-40.424082949611446
8,2007-04,1176340071.0,a,0.411,34.62,-5.538881309686224,1447.8,27.995897907402316,-33.53477921708854
9,2008-01,1201102130.0,a,0.645,32.16,-12.251023192360169,1338.6,18.341835155994428,-30.592858348354596
10,2008-02,1202949874.0,a,0.645,32.68,-10.832196452933148,1348.86,19.248892700220114,-30.081089153153265
11,2008-04,1209170963.0,a,0.67,31.53,-13.969986357435191,1379.9301,21.99571225234941,-35.9656986097846
12,2008-12,1228576893.0,a,0.83,17.26,-52.905866302864936,870.74,-23.020342489369046,-29.88552381349589
13,2011-08,1312253137.0,a,54.36,40.79,11.296043656207368,1254.05,10.867009097097577,0.42903455910979105
14,2011-11,1320714256.0,a,51.62,37.74,2.9740791268758624,1275.92,12.80047386242076,-9.826394735544898
15,2013-05,1368476938.0,a,44.12,43.04,17.435197817189636,1650.34,45.901885724894555,-28.46668790770492
16,2013-09,1378433392.0,a,56.39,47.68,30.095497953615286,1655.17,46.32889234659145,-16.233394392976166
17,2004-04,1081815610.0,aa,0.595,34.26,0.0,1129.4399,0.0,0.0
18,2004-09,1094732145.0,aa,0.561,32.89,-3.9988324576765835,1118.38,-0.9792375849303685,-3.019594872746215
19,2004-11,1101278240.0,aa,0.53,33.58,-1.9848219497956794,1181.76,4.632393454490134,-6.617215404285814
